fecha,quincena,liga,mercado,side,cuota,stake,result,won,clv,pnl
2026-03-16,2026-03b,Brasil,1x2,LOCAL,2.75,0.0,PERDIDA,0.0,,-0.0
2026-03-16,2026-03b,Argentina,1x2,LOCAL,2.63,0.0,GANADA,1.0,,0.0
2026-03-17,2026-03b,Argentina,1x2,LOCAL,2.9,0.0,GANADA,1.0,,0.0
2026-03-18,2026-03b,Turquia,1x2,LOCAL,2.35,0.0,GANADA,1.0,,0.0
2026-03-18,2026-03b,Turquia,ou,OVER,1.97,0.0,GANADA,1.0,,0.0
2026-03-18,2026-03b,Turquia,1x2,LOCAL,4.54,0.0,PERDIDA,0.0,,-0.0
2026-03-18,2026-03b,Turquia,ou,OVER,1.9,0.0,GANADA,1.0,,0.0
2026-03-20,2026-03b,Inglaterra,1x2,LOCAL,3.5,0.0,PERDIDA,0.0,,-0.0
2026-03-21,2026-03b,Argentina,1x2,LOCAL,2.9,0.0,GANADA,1.0,,0.0
2026-03-21,2026-03b,Inglaterra,1x2,LOCAL,3.6,0.0,GANADA,1.0,,0.0
2026-03-21,2026-03b,Inglaterra,ou,OVER,1.9,0.0,GANADA,1.0,,0.0
2026-03-21,2026-03b,Inglaterra,1x2,LOCAL,2.58,0.0,PERDIDA,0.0,,-0.0
2026-03-21,2026-03b,Inglaterra,ou,OVER,1.93,0.0,PERDIDA,0.0,,-0.0
2026-03-22,2026-03b,Noruega,1x2,LOCAL,2.38,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Noruega,ou,OVER,2.15,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Brasil,1x2,LOCAL,3.69,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Brasil,1x2,LOCAL,3.01,0.0,PERDIDA,0.0,,-0.0
2026-03-22,2026-03b,Noruega,1x2,VISITA,3.4,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Inglaterra,1x2,VISITA,3.4,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Inglaterra,ou,OVER,1.97,0.0,GANADA,1.0,,0.0
2026-03-22,2026-03b,Brasil,1x2,LOCAL,2.55,0.0,GANADA,1.0,,0.0
2026-03-23,2026-03b,Argentina,1x2,LOCAL,2.75,0.0,GANADA,1.0,,0.0
2026-03-31,2026-03b,Argentina,1x2,LOCAL,4.68,0.0,PERDIDA,0.0,,-0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,4.56,0.0,GANADA,1.0,,0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,2.51,0.0,GANADA,1.0,,0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,2.7,0.0,PERDIDA,0.0,,-0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,5.83,0.0,GANADA,1.0,,0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,2.31,0.0,PERDIDA,0.0,,-0.0
2026-04-02,2026-04a,Argentina,1x2,LOCAL,2.67,0.0,PERDIDA,0.0,,-0.0
2026-04-02,2026-04a,Brasil,1x2,VISITA,2.87,0.0,GANADA,1.0,,0.0
2026-04-02,2026-04a,Brasil,1x2,LOCAL,4.42,0.0,GANADA,1.0,,0.0
2026-04-02,2026-04a,Brasil,1x2,LOCAL,6.05,0.0,GANADA,1.0,,0.0
2026-04-03,2026-04a,Argentina,1x2,LOCAL,4.1,0.0,GANADA,1.0,,0.0
2026-04-02,2026-04a,Brasil,1x2,LOCAL,6.52,0.0,GANADA,1.0,,0.0
2026-04-02,2026-04a,Brasil,ou,UNDER,2.0,0.0,PERDIDA,0.0,,-0.0
2026-04-01,2026-04a,Brasil,1x2,LOCAL,5.83,0.0,GANADA,1.0,,0.0
2026-04-04,2026-04a,Argentina,1x2,LOCAL,5.63,0.0,GANADA,1.0,,0.0
2026-04-04,2026-04a,Brasil,1x2,VISITA,2.51,0.0,PERDIDA,0.0,,-0.0
2026-04-04,2026-04a,Brasil,1x2,VISITA,3.88,0.0,GANADA,1.0,,0.0
2026-04-04,2026-04a,Turquia,1x2,LOCAL,2.26,0.0,GANADA,1.0,,0.0
2026-04-04,2026-04a,Turquia,ou,OVER,1.93,0.0,PERDIDA,0.0,,-0.0
2026-04-04,2026-04a,Turquia,1x2,LOCAL,3.42,0.0,GANADA,1.0,,0.0
2026-04-05,2026-04a,Brasil,1x2,LOCAL,2.65,0.0,PERDIDA,0.0,,-0.0
2026-04-05,2026-04a,Brasil,1x2,LOCAL,2.62,0.0,PERDIDA,0.0,,-0.0
2026-04-05,2026-04a,Brasil,1x2,VISITA,3.68,0.0,GANADA,1.0,,0.0
2026-04-05,2026-04a,Turquia,1x2,LOCAL,3.27,0.0,GANADA,1.0,,0.0
2026-04-05,2026-04a,Turquia,ou,OVER,1.85,0.0,GANADA,1.0,,0.0
