Fecha,ID Partido,Partido,Local,Visita,Cuota 1,Cuota X,Cuota 2,Cuota +2.5,Cuota -2.5,Liga,Prob 1,Prob X,Prob 2,Prob +2.5,Prob -2.5,Goles L,Goles V,Formacion L,Formacion V,Acierto,P/L Neto,Apuesta 1X2,"Apuesta O/U 2,5",Stake,"Stake O/U 2,5",Equity curve,Drawdown,Cuota apostada,CLV,Dif cuota,Sumar Registro,Ganancia neta,Yield,Volumen apuesta,% Acierto P,% Acierto $,% Acierto all,P-Value,Fraccion Kelly,Brier Score,Promedio BS,BS casa,BS global,T-score,Bankroll,LIGA,APUESTAS,GANADAS,PERDIDAS,% ACIERTO,P/L NETO,YIELD,Auditoria
16/03/2026,2026-03-16aldosivihuracan,Aldosivi vs Huracan,Aldosivi,Huracan,"4,25","1,81","3,45",,,Argentina,"31,67%","32,18%","36,14%","32,69%","67,31%",0,0,,,[PASAR] Margen Insuficiente," $0,00",[PASAR] Margen Predictivo Insuficiente (<5%),[PASAR] Sin Cuotas," $0,00"," $0,00"," $100.000,00","0,00%",NO APOSTADO,,,FALSE,#REF!,"15,33%",46,"78,72%","60,87%","69,80%","100,00%","2,66%","0,452295655","0,500762451","0,3574973469","15,18%","0,6604189645"," $100.000,00",Argentina,0,0,0,0,"4152,3338",0,
16/03/2026,2026-03-16barracascentralatleticotucuman,Barracas Central vs Atletico Tucuman,Barracas Central,Atletico Tucuman,"1,36","3,75",13,,,Argentina,"37,34%","29,11%","33,55%","42,92%","57,08%",2,1,,,[PASAR] Margen Insuficiente," $0,00",[PASAR] Margen Predictivo Insuficiente (<5%),[PASAR] Sin Cuotas," $0,00"," $0,00"," $100.000,00","0,00%",NO APOSTADO,,,FALSE,,,,,,,,"5,00%","0,62077615",,"0,1675977612",,,,Brasil,0,0,0,0,"878,7663",0,
16/03/2026,2026-03-16brentfordwolverhamptonwanderers,Brentford vs Wolverhampton Wanderers,Brentford,Wolverhampton Wanderers,"1,55","4,55","5,9","1,65","2,25",Inglaterra,"31,53%","29,40%","39,07%","41,71%","58,29%",2,2,,,[FALLO],"- $2.500,00",[PASAR] Techo Cuota,[PERDIDA] UNDER 2.5," $0,00"," $2.500,00"," $97.500,00","-2,50%","2,25",,,FALSE,,,,,,,,"5,00%","0,7150207",,"1,036043093",,,,Inglaterra,0,0,0,0,-2500,0,
16/03/2026,2026-03-16chapecoensegremio,Chapecoense vs Gremio,Chapecoense,Gremio,"2,75","3,3","2,3","1,92","1,93",Brasil,"34,76%","28,65%","36,59%","43,76%","56,24%",1,1,,,[PASAR] Margen Insuficiente," $878,77",[PASAR] Margen Predictivo Insuficiente (<5%),[GANADA] UNDER 2.5," $0,00"," $944,91"," $98.378,77","-1,62%","1,93",,,FALSE,,,,,,,,"0,00%","0,57338917",,"0,7902635013",,,,Noruega,0,0,"0,00%","0,00%","0,00%","0,00%",SI
16/03/2026,2026-03-16institutodecordobaindependiente,Instituto de Cordoba vs Independiente,Instituto de Cordoba,Independiente,"2,63",3,"2,85","2,68","1,46",Argentina,"42,10%","29,36%","28,54%","40,78%","59,22%",2,1,,,[ACIERTO]," $1.358,33",[GANADA] LOCAL,[PASAR] Riesgo/Beneficio," $833,33"," $0,00"," $99.737,09","-0,26%","2,63",,,FALSE,,,,,,,,"1,64%","0,6021484",,"0,6199042973",,,,Turquia,0,0,0,"0,00%"," $0,00","0,00%",
16/03/2026,2026-03-16racingclubestudiantesderiocuarto,Racing Club vs Estudiantes de Rio Cuarto,Racing Club,Estudiantes de Rio Cuarto,"1,42","4,2","8,5","2,2","1,63",Argentina,"43,02%","30,32%","26,65%","36,89%","63,11%",2,0,,,[ACIERTO]," $525,00",[PASAR] Riesgo/Beneficio,[GANADA] UNDER 2.5," $0,00"," $833,33"," $100.262,09","0,00%","1,63",,,FALSE,,,,,,,,"4,22%","0,379899475",,"0,1754136571",,,,,,,,,,,
16/03/2026,2026-03-16sanlorenzodefensayjusticia,San Lorenzo vs Defensa y Justicia,San Lorenzo,Defensa y Justicia,"2,2","2,95","3,7","2,95","1,39",Argentina,"30,80%","29,00%","40,20%","42,81%","57,19%",2,5,,,[ACIERTO]," $2.249,99",[GANADA] VISITA,[PASAR] Riesgo/Beneficio," $833,33"," $0,00"," $102.512,08","0,00%","3,70",,,FALSE,,,,,,,,"4,51%","0,59535361",,"0,8405368946",,,,,,,,,,,
17/03/2026,2026-03-17centralcordobadeportivoriestra,Central Cordoba vs Deportivo Riestra,Central Cordoba,Deportivo Riestra,"2,9","2,6","3,05","3,7","1,27",Argentina,"41,89%","29,48%","28,63%","40,44%","59,56%",1,0,,,[ACIERTO]," $1.583,33",[GANADA] LOCAL,[PASAR] Riesgo/Beneficio," $833,33"," $0,00"," $104.095,41","0,00%","2,90",,,FALSE,,,,,,,,"2,83%","0,41681533",,"0,6825790383",,,,,,,,,,,
17/03/2026,2026-03-17gimnasiamendozaestudiantes,Gimnasia Mendoza vs Estudiantes,Gimnasia Mendoza,Estudiantes,"3,6","2,85","2,32","3,15","1,35",Argentina,"29,86%","28,94%","41,20%","42,74%","57,26%",1,2,,,[ACIERTO],"- $833,33",[PERDIDA] LOCAL,[PASAR] Riesgo/Beneficio," $833,33"," $0,00"," $103.262,08","-0,80%","3,60",,,FALSE,,,,,,,,"0,72%","0,58719992",,"0,5302878596",,,,,,,,,,,
17/03/2026,2026-03-17lanusnewells,Lanus vs Newells,Lanus,Newells,"1,75","3,45","5,1","2,3","1,6",Argentina,"34,16%","27,51%","38,33%","49,14%","50,86%",5,0,,,[PASAR] Margen Insuficiente," $0,00",[PASAR] Margen Predictivo Insuficiente (<5%),[PASAR] Riesgo/Beneficio,0," $0,00"," $103.262,08","-0,80%",NO APOSTADO,,,FALSE,,,,,,,,"5,00%","0,58671869",,"0,3207418739",,,,,,,,,,,
